cid,years,director,category,number,name,awards,awards1,awards2,awards3,awards4,awards5,awards6,,,
A,2015,曾威量,短片,0,禁止下錨,柏林國際影展-奧迪最佳短片獎,,,,,,,,,
B,2015,江豐宏,喜劇片,730000,缺角一族,第11屆日本大阪亞洲電影節-最佳演員獎,2016第49屆休士頓國際影展-喜劇片金牌獎,,,,,,,,
A,2015,許承傑,短片,0,龍蝦小孩,第32屆洛杉磯亞太影展-金軸獎,,,,,,,,,
A,2016,劉易,短片,0,乒乓,第16屆紐約翠貝卡影展-學生遠貝獎,,,,,,,,,
C,2014,陳潔瑤,劇情片,7500000,只要我長大,第46屆義大利Giffoni影展-CIAL Prize for environment特別獎,,,,,,,,,
C,2016,趙德胤,劇情片,0,再見瓦城,第73屆威尼斯影展-威尼斯日「歐洲和地中海影評人聯合會」最佳影片獎,,,,,,,,,
C,2014,錢翔,劇情片,580000,迴光奏鳴曲,法國費索爾亞洲國際影展-國際評審團大獎,2015法國費索爾亞洲國際影展-影評人獎,2015法國費索爾亞洲國際影展-女主角(陳湘琪)特別獎,,,,,,,
F,2014,侯孝賢,武俠片,5000000,刺客 聶隱娘,法國坎城影展-最佳導演獎,2015法國坎城坎城影展會外-電影原聲帶獎,2015澳洲亞太電影獎-最佳攝影,,,,,,,
C,2013,楊南倩,劇情片,1460000,原來，你還在,韓國光州電影節-評審團獎,,,,,,,,,
D,2016,楊逸帆,紀錄片,530000,學習的理由,亞美國際影展-青年觀點獎,,,,,,,,,
D,2014,侯季然,紀錄片,0,書店裡的影像詩,關島國際電影節-最佳紀錄片短片評審團大獎,,,,,,,,,
C,2015,林書宇,劇情片,7000000,百日告別,第19屆愛沙尼亞塔林黑夜國際電影節-天主教人道主義精神獎,2016第9屆阿姆斯特丹亞洲電影節-評審團獎,2016第9屆荷蘭亞洲影展-Tiger Beer評審團最佳影片獎,,,,,,,
B,2013,易智言,喜劇片,4100000,行動代號：孫中山,大阪亞洲電影節-最佳影片獎,2015大阪亞洲電影節-最佳觀眾票選獎,,,,,,,,
B,2016,林孝謙,喜劇片,1720000,五星級魚干女,關島國際電影節-最佳影片獎,,,,,,,,,
C,2015,于瑋珊,劇情片,59120(台北),小孩,夏威夷國際影展-最佳亞太電影獎,,,,,,,,,
D,2013,劉名,紀錄片,26730000,五月天諾亞方舟,美國洛杉磯3D創意藝術獎-國際現場大事件獎,,,,,,,,,
C,2013,馬志翔,劇情片,340000000,KANO,大阪電影節-大阪電影節觀眾獎,,,,,,,,,
G,2012,蕭力修,愛情片,20000000,阿嬤的夢中情人,大阪電影節-大阪電影節朝日電視ABC獎,,,,,,,,,
D,2013,齊柏林,紀錄片,220000000,看見台灣,第47屆美國休士頓國際影展-評審團特別獎,2014第47屆美國休士頓國際影展-攝影金牌獎,,,,,,,,
C,2013,張作驥,劇情片,2980000,暑假作業,第47屆美國休士頓國際影展-家庭倫理獎,2014首爾Guro兒童國際影展-最佳劇情片獎,,,,,,,,
C,2013,趙德胤,劇情片,1230000,冰毒,英國愛丁堡影展-最佳國際劇情片獎,2014瑞典「和平與愛影展」-最佳導演獎,,,,,,,,
E,2015,陳良侯,科幻片,0,空殼與複製人,南韓「富川奇幻影展」-富川奇幻影展創投現金獎,2014南韓「富川奇幻影展」-中國美迅影視傳媒現金獎,,,,,,,,
